apartment_id,apartment,building,walking_min,transit_min,bicycling_min,amenity_score,pet_score,price_score,value_bonus,total_score
armory_75,75 Armory,Illini Union,20,10,5,0.525,0.0,0.8927461603645975,0.1272163278519551,0.58
armory_75,75 Armory,CRCE,9,4,3,0.525,0.0,0.8927461603645975,0.1272163278519551,0.58
armory_75,75 Armory,ARC,9,4,3,0.525,0.0,0.8927461603645975,0.1272163278519551,0.58
armory_75,75 Armory,Main Library,12,7,3,0.525,0.0,0.8927461603645975,0.1272163278519551,0.58
armory_75,75 Armory,Wohlers Hall,14,9,4,0.525,0.0,0.8927461603645975,0.1272163278519551,0.58
armory_75,75 Armory,Everitt Lab,21,11,5,0.525,0.0,0.8927461603645975,0.1272163278519551,0.58
armory_75,75 Armory,Loomis Lab,25,11,8,0.525,0.0,0.8927461603645975,0.1272163278519551,0.58
armory_75,75 Armory,Lincoln Hall,14,7,4,0.525,0.0,0.8927461603645975,0.1272163278519551,0.58
armory_75,75 Armory,Krannert Art Center,14,7,4,0.525,0.0,0.8927461603645975,0.1272163278519551,0.58
illini_manor,Illini Manor,Grainger Engineering Library,15,9,4,0.275,0.0,1.0,0.2,0.53
illini_manor,Illini Manor,Siebel Center for CS,20,9,5,0.275,0.0,1.0,0.2,0.53
illini_manor,Illini Manor,Illini Union,10,7,2,0.275,0.0,1.0,0.2,0.53
illini_manor,Illini Manor,CRCE,12,8,3,0.275,0.0,1.0,0.2,0.53
illini_manor,Illini Manor,ARC,12,8,3,0.275,0.0,1.0,0.2,0.53
illini_manor,Illini Manor,Main Library,7,4,1,0.275,0.0,1.0,0.2,0.53
illini_manor,Illini Manor,Wohlers Hall,8,8,2,0.275,0.0,1.0,0.2,0.53
illini_manor,Illini Manor,Everitt Lab,11,8,3,0.275,0.0,1.0,0.2,0.53
illini_manor,Illini Manor,Loomis Lab,15,8,5,0.275,0.0,1.0,0.2,0.53
illini_manor,Illini Manor,Lincoln Hall,5,5,2,0.275,0.0,1.0,0.2,0.53
illini_manor,Illini Manor,Krannert Art Center,11,11,3,0.275,0.0,1.0,0.2,0.53
